"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1960","1960",7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1961","1961",7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1962","1962",7.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1963","1963",7.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1964","1964",7.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1965","1965",7.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1966","1966",8.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1967","1967",8.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1968","1968",8.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1969","1969",9.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1970","1970",9.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1971","1971",10.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1972","1972",11.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1973","1973",13,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1974","1974",15.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1975","1975",17.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1976","1976",19.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1977","1977",20.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1978","1978",22.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1979","1979",24.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1980","1980",27.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1981","1981",30.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1982","1982",33.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1983","1983",36.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1984","1984",37.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1985","1985",40.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1986","1986",43,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1987","1987",46.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1988","1988",50.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1989","1989",53.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1990","1990",55.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1991","1991",55.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1992","1992",56.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1993","1993",57,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1994","1994",58.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1995","1995",59.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1996","1996",60.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1997","1997",61.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1998","1998",61.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","1999","1999",63.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2000","2000",66.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2001","2001",68,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2002","2002",70.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2003","2003",72.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2004","2004",75.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2005","2005",79,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2006","2006",83,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2007","2007",86.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2008","2008",91.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2009","2009",92.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2010","2010",97.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2011","2011",99.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2012","2012",99.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2013","2013",101.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2014","2014",100.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2016","2016",103.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2017","2017",105.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2018","2018",109.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2019","2019",112.6,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1970","1970",23.8,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1971","1971",25.3,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1972","1972",27.2,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1973","1973",29.4,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1974","1974",32.2,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1975","1975",34.3,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1976","1976",36.2,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1977","1977",38.1,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1978","1978",40.4,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1979","1979",42.1,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1980","1980",44.4,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1981","1981",47.4,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1982","1982",50,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1983","1983",51.7,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1984","1984",54.2,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1985","1985",55.9,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1986","1986",57.5,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1987","1987",58.9,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1988","1988",59.8,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1989","1989",61.6,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1990","1990",63.4,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1991","1991",65.7,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1992","1992",68,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1993","1993",69.9,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1994","1994",71.7,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1995","1995",73,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1996","1996",73.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1997","1997",74.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1998","1998",74.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","1999","1999",75.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2000","2000",76.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2001","2001",77.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2002","2002",78.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2003","2003",79.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2004","2004",80.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2005","2005",83,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2006","2006",84.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2007","2007",86.4,,
